Date	Author	NumAffectedFiles	Contains .sql
2014-10	Catherine	14	0	
2014-11	Catherine	30	0	
2014-12	Catherine	14	0	
2015-01	Catherine,medina	6	0	
2015-02	Catherine,Amit	11	0	
2015-04	Joshua	4	0	
2015-05	Joshua,Catherine	9	0	
2015-06	Joshua	2	0	
2015-07	Catherine	6	0	
2015-08	Federico	3	0	
2015-09	Catherine	1	0	
2015-10	John	18	0	
2015-11	Brian,John,Joshua	14	0	
2015-12	Catherine	1	0	
2016-06	Joe	1	0	
2016-10	Catherine	3	0	
2016-12	Vraj	1	0	
2017-02	Catherine	1	0	
2017-03	Alex	3	0	
2017-04	Alex	2	0	
2017-10	Catherine	63	1	
2017-12	Catherine	2	0	
